id;matricule;modele;marque;prix;image
1;Gorgeous;Credit Card Account Agent programming;withdrawal;25992;Hills Practical Fresh Chair
2;Yuan Renminbi;sky blue connecting;Avon;35781;SCSI
3;Haiti;connecting Borders alarm;Architect Jewelery;40957;Incredible
4;Intelligent;User-centric Frozen payment;array Ports Vista;28407;Practical Tasty Concrete Gloves
5;protocol Focused;payment Coordinator calculate;backing up;96349;functionalities
6;Associate digital;Mobility;grow Cotton;27989;Jewelery
7;generate Fresh;back-end;Facilitator optical Utah;27013;reboot synthesize
8;Delaware;Corporate olive Dong;Robust Rapid Manager;71121;JSON Handmade Rubber Towels productize
9;Security open-source invoice;Small Plastic Shirt success;Checking Account;80481;Investor turn-key FTP
10;Rustic Frozen Sausages;Open-architected one-to-one capability;Massachusetts Table;52816;quantify
